Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release,Description
Glasslip,2.71 Mediocre,"P.A. Works Co., Ltd.",Original Work,Romantic Comedy,~24min,TV-Series,13,2014,"Tōko Fukami’s family runs a glass-working business in a small seaside town. She hangs out with her four best friends at a cafe called ""Kazemichi."" During the summer break of their senior year in high school, they meet a transfer student named Kakeru Okikura, who claims that a voice from the future talks to him, and that it’s led him to Tōko. His arrival sets off a series of events that will make their final summer together one full of hope and heartache."
Shrine of the Morning Mist,2.74 Mediocre,"Chaos Project, GANSIS, Inc.",Light Novel,Action Comedy,~12min,TV-Series,26,2002,"“Shrine of the Morning Mist” is about Yuzu Hieda and Tadahiro Amatasu. Yuzu is a Shinto priestess in training. She is on a quest to unravel magical secrets. Tadahiro is a young man with two different coloured eyes: one brown and one multi-coloured. He is pursued by the evil sorcerer Michimune Ayatachi, who wants to find out the mystical secret of this unusual eye. When Yuzu and Tadahiro meet, Yuzu finds a new target for her studies and Tadahiro a protector. Yuzu recruits four young priestesses to help her defend Tadahiro. Can Yuzu protect the young man while resisting her growing affection for Tadahiro?"
Hurricane Polymar,2.89 Mediocre,"Tatsunoko Production Co., Ltd.",Original Work,?,~25min,TV-Series,26,1974,"Takeshi Yoroi is a carefree and somewhat naive young man who works as an assistant to bumbling would-be detective Jo Kuruma. From their run-down and shabby office in the progressive metropolis of Washinkyo, they run a modest private investigation service with occasional assistance from Teru Nanba, the landlord’s pretty daughter. What his colleagues don’t realise, however, is that Takeshi is secretly the disowned son of the director of the international secret police, which is based in the building opposite and from which they regularly steal assignments, as they rarely receive lucrative ones themselves. Takeshi also owns a super weapon that allows him to transform into the superhero “Hurricane Polimar” at any time. In addition to the investigations, this often leads to spectacular battles with evil organisations, criminal gangs, mutants, and monsters."
Kingyo Chuuihou!,2.89 Mediocre,"Toei Animation Co., Ltd.",Manga,?,~24min,TV-Series,54,1991,"The 14-year-old orphan Chitose Fujinomiya wanders the country lonely and alone with her pink goldfish named Gyopi in her hand, looking for a new home. Poverty has been completely unknown to her until now, but since her formerly wealthy father died and left her with a mountain of debt, she has to learn to make do with little. She was expelled from her former school, the posh Tokai no Gakuen Academy, but the poor Inaka no Chuugakkou high school students eventually took her in. At this institution, there are even oxen, pigs and chickens in addition to the students, and although the people there don’t have much themselves, they support the poor girl as much as they can.  However, it soon turns out that the goldfish given to her by her father is worth an incredible amount. Moreover, her father did not leave her without money at all, but her relatives only deceived her. Having regained her old wealth, she decides to buy the poor school and improve the lives of her saviours. She even wants to outdo her old school, where her former fake friends still reside. Can she do it?"
Eternal Boys,2.89 Mediocre,LIDEN FILMS Inc.,Original Work,?,~13min,TV-Series,24,2022,"In order to survive in the highly competitive idol market, the company Manpuku Geinou Production has come up with a special concept and created the group Eikyuu Shounen (“Eternal Boys”). These idols are not immature boys, but seasoned men who have all had careers or ordinary jobs before and now want to try their luck in showbiz. For former professional soccer player Haru Asai, presenter Makoto Kakizaki, former child star and granddaughter singer Tsuyoshi and also for Daisuke Yamanaka, who used to work in the agency’s management, being in the spotlight is nothing new, while office worker Kentarou Yamada as well as teacher Naoki Ishida still have to get used to it. Will this unusual group succeed in becoming real stars?"
Chi’s Sweet Adventure,2.75 Mediocre,Marza Animation Planet Inc.,Manga,Comedy,~12min,TV-Series,51,2016,
Busou Shinki,2.71 Mediocre,"8bit Corp, Inc.",Other,Action Drama,~24min,TV-Series,12,2012,"High school freshman Rihito, who just came back from abroad, started a new life in Japan with his four Busou Shinki, female action figures with weapons."
The Magical World of Gigi,2.82 Mediocre,"Ashi Productions Co., Ltd.",Original Work,Adventure,~23min,TV-Series,63,1982,"Fenarinarsa is a land inhabited by countless characters from fairy tales – “the land of dreams”, or so to speak. It now floats high up in the sky above the earth, but because people are losing hope and believing less and less in their dreams, Fenarinarsa threatens to disappear from the planet’s orbit. The royal couple see only one way out: they send their daughter, Princess Momo, to the earth’s surface to prevent the worst.  Momo now lives as the child of a couple who have not yet been granted the happiness of parenthood. She also has three companions at her side: the dog Sindbook, the monkey Mocha, and the bird Pipil. Momo also has magical abilities that allow her to transform into an adult and appear in many ways to make people happy – for example, as a policewoman or a stewardess. Whenever Momo manages to do this, the royal crown shines until, eventually, even a jewel appears. But Momo has a long way to go because the kingdom will only return to earth when all 12 jewels have been found …  Annotation: The English dub was initially only shown outside the US, only a single VHS was released there in 1987. In 2015, all 52 English dubbed episodes have been made available as 13 compilation films on Amazon Video as “Minky Momo”."
Heavy Metal L-Gaim,2.82 Mediocre,SUNRISE Inc.,Original Work,Action,~25min,TV-Series,54,1984,"Poseidal of Gustgal, the Immortal Emperor, leads his twenty-four Knights Templar to conquer the Pentagonia system and declares himself the Star Emperor. His second crusade ends in 3975 after he defeats King Camon Wallha V. Camon hides his heir, Camon VI, on the planet Coam, along with the legendary white robot.  Fifteen years later, the Prince of Camon, Daba Myroad, starts a revolt and is supported by the arms dealer Amandara Kamandara."
Kawagoe Boys Sing: Now or Never,2.82 Mediocre,,Original Work,?,~24min,TV-Series,12,2023,"Haruo Hibiki was considered a brilliant conductor at his school, but his difficult personality caused him to be kicked out of his orchestra. To be allowed to return, he has to found a new choir at Kawagoe High School and win a national competition. Full of verve, he sets out to find suitable members but encounters greater resistance than initially expected.  Tenshi Dei, called Danbocchi, is one of the people Haruo would like to see in his choir. But after a drastic experience with his former choir, he can no longer perform in front of an audience, although he still loves to sing. But he cannot escape Haruo’s highly charismatic manner, so his quiet everyday life is turned upside down."
Super Robot Wars OG: Divine Wars,2.74 Mediocre,"OLM, Inc.",Video Game,Action,~25min,TV-Series,25,2006,"It is two hundred years after the beginning of the Space Era, when human civilization on Earth began expanding into space. However, by the start of the 21st century, two meteors struck the planet, sending humanity into chaos. By the year 179 of the Space Era, secret technology, dubbed Extra-Over Technology, or EOT, was discovered by the Earth Federal Government within a third meteor that hit Earth in the Marquesas Islands of the South Pacific. Dr. Bian Zoldark, head of the EOTI Institute (Extra-Over Technological Investigative Institute), had evidence the creators of the EOT were heading to Earth, in order to reclaim it...or worse, invade the planet. In order to defend humanity from extraterrestrial threats, the government begins to research and develop humanoid mecha called Personal Troopers."
Comic Party Revolution,2.72 Mediocre,Chaos Project,Visual Novel,Comedy,~24min,TV-Series,13,2005,"Kazuki Sendou failed the entrance exam for art college and has since been creating doujinshis that he sells at conventions. His artistic works are very peculiar, and his childhood friend Mizuki was not so enthusiastic about his activities at first. Nevertheless, he still has numerous fans – especially female ones. During his work, he often meets crazy characters like the arrogant Eimi or the artistically experienced Yuu. Tragicomic events, strange discoveries and pure madness are usually pre-programmed with this circle of friends.  Annotation: The first four episodes of this season are essentially abridged versions of the previously released OVAs of the same name."
Cosmo Warrior Zero,2.74 Mediocre,"Vega Entertainment Co., Ltd.",Original Work,Action,~25min,TV-Series,13,2001,"Mankind has created its own greatest enemy: Metanoids, cybernetic superhumans, ruling the earth after several bloody wars. Human survival is only guaranteed through absolute submission. But numerous pirates continue to fight for human freedom, among them the notorious Captain Harlock. Commander Warrior Zero is forced to hunt him down – with a crew of humans and Metanoids. But can humans and machines work together at all?"
Monster Hunter Stories: Ride On,2.79 Mediocre,David Production Inc.,Video Game,Adventure,~23min,TV-Series,75,2016,
Gad Guard,2.73 Mediocre,"Amber Film Works Inc., Gonzo K.K.",Original Work,Adventure,~24min,TV-Series,26,2003,"“Gad Guard” tells the story of Hajiki, a teenage resident of the so-called Night Town. One day, Hajiki finds a Gad, a giant human-like robot. Hajiki unintentionally sets off with other Gad owners of the same age in search of the origin of the Gads, which is believed to be in space. Can he solve this mystery?"
Girls Bravo,2.71 Mediocre,"Anime International Co., Inc.",Manga,Romantic Comedy,~24min,TV-Series,11,2004,"Too small for his age, Yukinari has always been disrespected and oppressed by girls. Since he has been in high school, he has noticed something very strange about himself: as soon as a girl touches him or even approaches him, he gets a rash. Imagine his amazement when, one day, through unexplained circumstances, he finds himself in Seiren, a mystical world that orbits the earth and is inhabited only by women. Fortunately, he finds a new friend there, Miharu-Chan, whose touches strangely show no reaction from his allergy."
My Life as Inukai-san’s Dog,2.71 Mediocre,"JFK Co., Ltd.",Manga,Romantic Comedy,~12min,TV-Series,12,2023,"When the protagonist of this story suddenly finds himself in the body of a dog instead of a high school student, he doesn’t have much time to panic. His owner is none other than Karen Inukai, his beautiful former classmate and big crush! And in contrast to her otherwise rather cool demeanour, she virtually showers her dog with affection. Of course, he wants to become human again one day but that doesn’t stop him from enjoying his strange new life to the fullest."
Kakushite! Makina-san!!,2.71 Mediocre,BloomZ Inc.,Manga,Romantic Comedy,~12min,TV-Series,12,2025,"Eita Akutsu is a nerd who hardly gets any attention at school and is hopelessly in love with the pretty Makina Agatsuma, the school idol, who practically seems to live in another world. But when the confessed mecha fanatic comes home one evening unsuspectingly, she has already made herself a home in his flat and now wants to move in with him. The truth is that she is a robot created for sexual purposes and, as a skilful mechanic, Eita is the only person around her who can help her with her physical problems.  With just a little information from the operations manual, Eita quickly demonstrates his skills in maintaining her components, though Makina doesn’t want to use him for just a few much-needed repairs. After all, she’s never slept with a man before, and, as a highly developed sex robot, she can’t afford to keep it that way! Eita is the perfect candidate for her first time, and he is surprised by her less reserved – albeit equally inexperienced – advances. Not only does he now have to escape the various intrigues of his new “Ero-Bot” flatmate, but he also has to help her hide her secret identity from the other students. Not exactly an easy task for a high school student …"
Girl Friend Beta,2.71 Mediocre,SILVER LINK.,Video Game,Slice of Life Drama,~24min,TV-Series,12,2014,"Kokomi Shiina from “Girl Friend Beta” is in her second year of high school. She works very hard, but never allows her mood to be ruined. At school, she is also a member of the rhythmic gymnastics club, where she holds the leadership position. However, school life is not always peaceful and harmonic, it also brings along problems that Kokomi and her new friends have to deal with. But there is one thing they must never forget: It is important to support and be there for each other!"
Bloodivores,2.70 Mediocre,Creators in Pack Inc.,Manhua,Action,~24min,TV-Series,12,2016,
Scar on the Praeter,2.73 Mediocre,GoHands,Other,Action,~24min,TV-Series,13,2021,"Merciless, brutal and dangerous – this is how Tokyo’s special district Akatsuki can be described, which was abandoned by the government after a rebellion and thus became a lawless zone. Since then, the Scards have ensured justice and order there. These people, blessed with special abilities, possess so-called Divine Tattoos in which gods are enclosed. However, the individual groups that the Scards have formed – the city protectors Helios, the commercial interest group Artemis and the special public security unit, which consists of Scard members of the Tokyo police – regularly come into conflict over various issues. Only over time do these people get to know each other better and overcome a variety of problems. Friendships are made, and trust is built …"
Theatre of Darkness: Yamishibai 11,2.77 Mediocre,"ILCA, Inc., yell",Original Work,Ghost Stories,~4min,TV-Series,13,2023,"Already for the eleventh time, the Storyteller visits us at five in the morning to tell us his spooky tales. Whether it’s about an eerie temple full of dolls that becomes a new playground for two friends, a strange neighbourhood tradition witnessed by a family that has just moved to the countryside, or a mysterious man’s proposition for two parents to resurrect their deceased daughter – this season won’t be boring, either!"
Cardfight!! Vanguard,2.71 Mediocre,"Studio Sakimakura, TMS Entertainment Co., Ltd.",Other,Ganbatte,~24min,TV-Series,65,2011,"Aichi Sendō is a timid third-year middle school student who has always lived his life looking backwards rather than forward. However, he has a card called ""Blaster Blade"" that was given to him when he was little, which is the sole thing that sustains him. Then Kai Toshiki, a cool-hearted high schooler, introduces Aichi to a card game called ""Vanguard"". When participants battle they picture they are on a planet called ""Klay"", and since Vanguard features a never before seen game system it has become popular around the world. Aichi immediately likes Vanguard, so he begins to play it with his friends Misaki Togura and Kamui Katsuragi, and others like his new rival Kai (who is one of the best Vanguard players). Aichi plays every day and he strives with all his soul and heart to play better, so when he battles Kai, Kai will recognize Aichi’s worth."
Lockdown Zone: Level X,2.83 Mediocre,,Other,Horror,~13min,TV-Series,6,2024,
Shin Aim for the Ace,2.93 Mediocre,"TMS Entertainment Co., Ltd.",Manga,Ganbatte,~25min,TV-Series,25,1978,"Hiromi Oka only joined her school’s tennis club because she wanted to get close to the two school stars, Reika “Madame Butterfly” Ryuuzaki and Takayuki Toudou. In truth, she is not even a particularly good player. But Coach Jin Munakata seems to see more in her and sets her up as a tournament player. Through his hard training, not only Hiromi’s passion for tennis but also her above-average talent blossomed. A deep bond develops between her and Munakata. At the same time, however, she also forges tender bonds with Toudou. This and many other events accompany her on her long, often rocky path to the Olympus of tennis …"
Futari wa Milky Holmes,2.73 Mediocre,"J.C.STAFF Co., Ltd.",Other,Comedy,~12min,TV-Series,12,2013,"Kazumi and Alice have been friends since childhood and are both big fans of Milky Holmes. Meanwhile, after their great successes in the past, the members of Genius 4 are now only busy with desk work. However, two years after the Genius 4 put the members of the Phantom Empire behind bars, a new grouping called Colour the Phantom emerges. Kazumi and Alice, therefore, decide to form their own detective unit to catch the criminals and henceforth call themselves “Feathers”."
Ulysses: Jeanne d’Arc and the Alchemist Knight,2.70 Mediocre,"AXsiZ Co., Ltd.",Light Novel,Action,~24min,TV-Series,12,2018,"“Ulysses: Jeanne d’Arc and the Alchemist Knight” is set in the 15th century, during the 100-year war between France and England, who are engaged in a struggle for succession to the throne. Throughout this precarious time, the young son of a nobleman, Montmorency, attends a royal school of chivalry, where he learns the crafts of magic as well as alchemy. However, only shortly after France’s crushing defeat at Agincourt, the school is shut down. Completely defenceless and without a home, the young alchemist wanders the world and, one day, meets a mysterious village girl named Jeanne d’Arc. What adventures await the two of them …?"
Yu-Gi-Oh!,2.70 Mediocre,"GALLOP Co., Ltd.",Manga,Ganbatte,~23min,TV-Series,224,2000,"“Yu-Gi-Oh!” is about a boy named Yugi Muto who was given the Millennium Puzzle by his grandfather and managed to solve it after eight years. From then on, the Spirit of the Millennium Puzzle regularly takes control of Yugi when it comes to Duel Monsters tournaments or other problems.  Annotation: Most western versions of the series contain 12 additional episodes of “Yu-Gi-Oh! Capsule Monsters”, chronologically set between episodes 198 and 199 but usually aired after episode 224. These additional episodes were produced by 4Kids."
30-sai no Hoken Taiiku,2.70 Mediocre,"Gathering Co., Ltd.",Light Novel,Romantic Comedy,~13min,TV-Series,12,2011,A guide aimed at men in their 30s without sexual experiences. The 30 year old protagonist and bachelor Hayao Imagawa has been chosen to be assisted by Daigorou (a sexgod) in losing his virginity. Therefore a love story between Hayao and the bachelorette Natsu Andou arises.
"Anyway, I’m Falling in Love with You",2.72 Mediocre,"Typhoon Graphics Co., Ltd.",Manga,Romance,~24min,TV-Series,12,2025,"Youth is supposed to be the best time of a person’s life. Not for Mizuho Nishino! Her high school years are meant to be an exciting time full of new experiences, but an unknown infectious disease prevents her from experiencing everything shown in the movies – be it fun activities with friends or her first love. To make matters worse, on her 17th birthday, she experiences the worst day of her life: not only does her father forget her birthday, but her long-time crush Saitou also rejects her.  Just as she is about to curse her life, her four childhood friends Kizuki Hazawa, Ai Izumi, Shin Kashiwagi and Shuugo Hoshikawa save the day. However, her birthday gets even crazier when Kizuki, her best friend for almost ten years, suddenly kisses her and tells her he wants to be her boyfriend?! But the other three boys are also vying for Mizuko’s attention …"
Flanders no Inu,2.71 Mediocre,"Nippon Animation Co., Ltd.",Novel,Drama,~25min,TV-Series,52,1975,"Nello lives alone with his grandfather Jehan in a small village in Flanders. They earn their living by taking the farm’s milk to the nearby city of Antwerp every morning. One day, they find the abandoned dog Patrasche by the wayside. They take him in and nurse him back to health, and a deep friendship develops between Nello and Patrasche. Together with his friend Alois, the three of them experience many adventures, but also injustices, as his passion for painting makes him the victim of many prejudices in the village. He dreams of, one day, being able to paint as well as the famous painter Rubens, whom he admires very much. But unfortunately, grandfather Jehan’s age is showing more and more often, so Nello has to take on more and more responsibility. A painting competition in Antwerp could be Nello’s only chance to realise his dream …"
Modern Magic Made Simple,2.70 Mediocre,Nomad Inc.,Light Novel,Adventure,~26min,TV-Series,12,2009,"Life hasn’t been fair to Koyomi Morishita. Even though she’s in high school, she’s so short that everyone assumes she’s still in grade school. The boys and girls in her school tease her mercilessly, and she’s not exactly graceful, either. On the other hand, she’s still better off than Yumiko, who has a magician trying to kill her … or at least, Koyomi was until their paths crossed!  Fortunately, salvation arrives in the form of master mage and graduate student Misa Anehara, who agrees to take Koyomi under her wing in learning the new style of magic, which breaks enchantment down into sequences of code. That’ll be quite a task, given that so far Koyomi’s talent seems to consist of making washbasins randomly fall out of the sky. But if it was easy, it wouldn’t be magic, would it?"
Miss Monochrome: The Animation,2.70 Mediocre,"LIDEN FILMS Inc., SANZIGEN Inc.",Video Game,Nonsense-Comedy,~4min,TV-Series,13,2013,"In order to be more in the eyes of the public, Miss Monochrome begins working to become a top-selling idol. Spacey Miss Monochrome once again runs around the idol show biz world, being tossed around by others."
Shikizakura,2.75 Mediocre,Sublimation Inc.,Original Work,?,~24min,TV-Series,12,2021,"When high school student Kakeru Miwa accidentally puts on a suit of battle armour called Yoroi one day, he has no idea that it will completely change his fate. This special armour, whose existence is made possible in equal measure by modern technology and ancient, secret knowledge, enables Kakeru to fight the dangerous Oni, who are appearing all over the world and threatening the entire human race.  But Kakeru does not have to accomplish this task alone, for there are other humans who possess such battle armour and who have joined together to form a team. The main task of this team is to protect the shrine maiden Ouka Myoujin, because according to a prophecy it is up to her to save the world. To do this, she must travel to the legendary place of Shikizakura, where cherry blossoms blossom and autumn leaves fall from the trees at the same time and the boundaries between the spiritual and the mundane world become blurred. There she must hold a ritual to protect humanity. But the journey there turns out to be extremely dangerous …"
The Lost Village,2.70 Mediocre,diomedéa inc.,Original Work,Drama,~24min,TV-Series,12,2016,
Ah! My Buddha!!,2.69 Mediocre,"Studio DEEN Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,12,2005,"Living in a temple with six pretty priestesses sounds tempting for a pervert like Ikko Satonako. However, as the lovely girls maltreat him every day for his actions, the training, and cleaning work is hard, and he doesn’t seem to have any talent for exorcism, he doesn’t fancy the whole thing. Unfortunately, his parents forced him into this career, as his strict grandmother Joutoku is the head priestess in training at the Buddhist Saien Temple. So he has to resign himself to his fate, even if his classmates once again punish him for no reason.  Over time, however, the supposedly weak Ikko discovers a secret ability that only he possesses: when he becomes sexually aroused by a naked girl, he transforms into an unstoppable super-monk with immeasurable exorcist powers. However, the transformation has a nasty side effect – once the danger is banished, he is even more perverted than in his normal form, and this can only be cured with a few well-aimed punches. Chitose, in particular, who does not approve of lustful thoughts and often gets jealous when he gets too close to other women, is only too happy to take care of his purification."
Alice Gear Aegis Expansion,2.74 Mediocre,Nomad Inc.,Video Game,?,~24min,TV-Series,12,2023,"When a mechanical alien race called “Vice” launched its invasion of Earth several centuries ago, humans fled into space. From the remains of their destroyed moon, they built themselves spaceships and lived as nomads. Now a group of young women who can operate special combat armour, called Alice Gears, are to help humanity reclaim their lost planet."
Clockwork Fighters: Hiwou’s War,2.85 Mediocre,BONES Inc.,Original Work,?,~25min,TV-Series,26,2000,"It has been eight years since the first black ships of the Western world reached 19th-century Japan. They brought with them mechanised clockwork dolls and steam-powered devices, which have since spread throughout the country. Hiwou grew up in a town that learnt to use this technology, but has so far only integrated it peacefully into its festivals and the like. As Hiwou’s father, who is on a long journey, has always said, the machines should only be used for peaceful purposes.  But the Wind Gang, who wants to trigger a new industrial revolution in Japan with their steam-powered robots, sees things differently and destroys Hiwou’s small community. During the attack, Hiwou and his friends manage to escape with the giant doll Homura and are forced to use Homura herself as a weapon along the way. As Hiwou’s mother has died and the whereabouts of his father seem unclear, they begin a long journey into the unknown, accompanied by the samurai daughters Hana and Yuki. If they can find his father, they might one day succeed in defeating the Wind Gang and restoring peace to Japan …"
Jigoku Sensei Nube,2.73 Mediocre,"Toei Animation Co., Ltd.",Manga,Action Comedy,~23min,TV-Series,49,1996,"Nube is a clumsy, easygoing, and very kind teacher, but he has a secret under his glove on the left hand. He has a monster hand, and he also has the ability to sense ghosts and evil spirits. So he protects his dear students from these evil spirits with his monster hand, proving to be very powerful."
That Is the Bottleneck,2.74 Mediocre,"Robot Communications Inc., Yomiuri Telecasting Corporation",Original Work,?,~4min,TV-Series,12,2020,"Mutou is a taciturn but reliable part-time employee at a suburban convenience store called Hot Hot Mart. The only thing is: his true appearance is a mystery. To be more precise, his head is constantly covered – be it by some object or even people or animals! Those who happen to catch a glimpse of his face usually run away in panic. However, some people face him indifferently or stay undeterred by his appearance, especially the regular customer Tsukiko. Even when directly looking into his face, she not only stays unfazed by him but beams with joy. What is it about Mutou, and why do people act so differently around him?  “That Is the Bottleneck” is a work that criticises the modern world, in which people engage in empty conversations instead of really communicating with their fellow human beings."
Housing Complex C,2.78 Mediocre,"Akatsuki Co., Ltd.",Original Work,Horror,~25min,TV-Series,4,,"Kimi lives in a small, run-down apartment complex in the tranquil seaside town of Kurosaki. But wherever she goes, bad luck seems to follow her, and strange events threaten to disrupt not only her life. Is she the only one affected, or is the entire building complex cursed?"
Jinsei: Life Consulting,2.70 Mediocre,feel.,Light Novel,Comedy,~24min,TV-Series,13,2014,"Yuuki Akamatsu and his cousin Ayaka Nikaidou are very close. Thus, when she asked him to assist her in the school’s journalism club, he couldn’t say no despite his dislike for club work. On behalf of the head of the school newspaper, he is given the task of heading the section for life advice. Because many of the students send their worries and problems to the paper, hoping for helpful advice from the editorial staff, they decided to dedicate a separate column to this purpose.  Since this project would be impossible to handle alone, he gets support from three girls who, unfortunately, don’t always listen to their department head but prefer to get their own way. The smart and shy Rino Endou, the sporty and open-minded Ikumi Suzuki and the cultivated and sweet Fumi Kujou cause him almost more headaches than the many letters from his classmates. But they soon realise that the work and the many social interactions can also help improve their own weaknesses and solve their personal problems."
Candy Candy,2.74 Mediocre,"Toei Animation Co., Ltd.",Manga,Slice of Life Drama,~25min,TV-Series,115,1976,"A long time ago, there was an orphan girl who stood on a small hill and cried. At that time, she met her prince, a handsome boy, who walked up to her and told her that instead of crying she should smile. The girl has not forgotten this memory even after seven years as she embarks on the path to self-discovery. She firmly believes that one day, she will meet her prince again and experience true happiness."
Pretty Rhythm: All Star Selection,3.00 Mediocre,"Tatsunoko Production Co., Ltd.",Video Game,Ganbatte,~25min,TV-Series,11,2014,"Young girl Lala is a Prism Show student, and is aiming to become an idol. She learns the way to shine from previous Prism Stars, including Aira Harune, Mia Ageha, and Naru Ayase. Lala looks back to the past with her mentors to their many experiences and Prism Shows."
Gokinjo Monogatari,2.73 Mediocre,"Toei Animation Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,50,1995,"Mikako Koda and Tsutomu Yamaguchi have known each other since they were little and attend Yazawa Geijyutsu Gakuen, a prestigious art school, together. Tsutomu has had feelings for his neighbour for some time, but the two are not exactly alike and are really only platonic friends. While he has a penchant for photography, she dreams of becoming a successful fashion designer and, therefore, already starts selling her handmade clothes. But when Tsutomu gains popularity with the girls because of his resemblance to the famous singer Ken Nakagawa, Mikako suddenly sees him in a completely different light and perhaps even seems to have fallen in love with him …"
Cute High Earth Defense Club Happy Kiss!,2.73 Mediocre,"Studio Comet Co., Ltd.",Original Work,Comedy,~24min,TV-Series,12,2018,"A few years have passed, and the original members of the Earth Defense Club have since left Binan Boys’ School. But in their place comes a new generation of Magical Boys who are ready – albeit reluctantly – to defend the students against the dark machinations that the student council is concocting together with its ally magical prince Furanui. For the rival magical prince of Honyala Land, Karl, who wants to make everyone happy, convinces the lazy troupe, who would actually prefer to relax in the bathhouse or the club room, to take on the monsters and knights of the student council. In the process, the pretty boys deal with the unhappiness of the students who have been transformed into monsters, appease them and explain to them how they can find happiness so that they turn back into a human – a difficult task that can only be undertaken by a magical knight who has made his promise to his otter prince with a kiss."
Shining Tears X Wind,2.69 Mediocre,"Studio DEEN Co., Ltd.",Video Game,Adventure,~24min,TV-Series,13,2007,"Mysterious disappearances are occurring one after the other in Tatsumi Town. Kiriya has a vision from a mysterious beautiful girl with pointy ears. A book talking for an alternative world is found. And Mao searching for her long lost friend, Zero, comes to our world. But what she didn’t expect is to find Souma and Kureha, and even less, to accidentally take them to her world. Now, Souma and Kureha have to find a way to come back. But other forces are playing their part in the darkness and Souma with Kureha will find that going back is harder than they first anticipated."
Blue Reflection Ray,2.71 Mediocre,"J.C.STAFF Co., Ltd.",Video Game,Drama,~24min,TV-Series,24,2021,"If emotions are strong enough, they can influence all world events. Based on this assumption, there are always people who are more receptive to others’ feelings and can sort them out to avert bad events.  The student Ruka Hanari finds it difficult to empathise with other people’s feelings. She is quite shy, so it is difficult for her to make friends. One day, she accidentally bumps into a stranger who loses a blue artefact and disappears before Ruka can return it to her. A short time later, she meets another student, Hiori Hirahara, who also wears such a ring. Unlike Ruka, Hiori has a very positive outlook on life and gives everything to help those around her. But although they are so different, they now possess the same magical powers and must learn to work together to protect not only their school friends but as many people as possible from the destructive power of negative emotions."
Sasami: Magical Girls Club - Season 2,2.78 Mediocre,"Anime International Co., Inc.",,Comedy,~25min,TV-Series,13,2006,"The magical girl Sasami and her enchanting friends are invited to a summer training camp in the witch world in the sequel to “Sasami: Magical Girls Club”. Although Washu seems to realise the potential danger behind it, Misao decides to ignore her and remain the only one in the witch world. They have no idea that the witches are really pursuing a sinister plan in which their friendship with Misao will soon be severely tested."
The iDOLM@STER Shiny Colors,2.78 Mediocre,Polygon Pictures Inc.,Video Game,Ganbatte,~24min,TV-Series,12,2023,"There is a lot of excitement among the newly formed idol groups on the 283 Productions label: the newcomer idol competition W.I.N.G. starts in a few months, and many young, talented female artists fancy their chances of winning the coveted title. Both the already-established girls from L’Antica, who want to tell exciting stories with their songs and the three-piece group Alstroemeria, who are currently still trying to figure out what they want to achieve as idols, are planning to take part in the competition, as are the Houkago Climax Girls, who have so far mainly made a name for themselves in the local shopping centre.  The two newly recruited idols, Hiori Kazano and Meguru Hachimiya, would also like to try their luck, but their producer thinks their unit still lacks that certain something. But then, one evening, he sees Mano Sakuragi sitting alone on a bench in the park, singing a beautiful song. He tries to convince the shy girl to become an idol, too, and supports the two other girls on stage. Thus, the idol group Illumination STARS is born, and the competition for first place begins.  Annotation: In Japan, all episodes were released in cinemas for a limited time before TV broadcast."
Soul Hunter: Battle of the Immortals,2.69 Mediocre,"Studio DEEN Co., Ltd.",Manga,Action Comedy,~25min,TV-Series,26,1999,"China, at the time of the eleventh dynasty: the empire of Emperor Chu is ruled by the evil magician Dakki, who makes the people suffer and starve and kills her opponents without further ado – at least if she doesn’t do it herself. The Council of Immortals, who live in an intermediate world, decide to do something about it. They want to send a wizard to capture the souls of all 365 evil wizards and stop Dakki’s evil ways. They choose the young wizard Taikobo. There is only one problem: Taikobo is lazy as hell, has no desire to fight and, therefore, initially refuses to capture the souls.  But ultimately, he has no choice, so he sets off for the human world. Once there, he is first caught by Shinkohyo, who is at the top of his list. Taikobo decides to take revenge for the defeat, whereupon he finally accepts the mission and quickly finds strong allies. As time goes by, however, it seems that he doesn’t know everything about his mission …"
Venus versus Virus,2.69 Mediocre,"Studio Hibari Co., Ltd.",Manga,Action,~24min,TV-Series,12,2007,"Sumire Takahana is actually an ordinary girl. She is very shy but still popular with her friends. She also works in a shop called “Venus Vanguard”. However, this is also the reason for her current problems because the shop is only a front.  In the basement is the headquarters for an exorcism office run by Lucia Nahashi. In this world, “dark spirits”, so-called viruses, exist that prey on those extraordinary people who can see them. Sumire is one such person. That is why she is in constant danger and must be protected by Lucia. At the same time, Sumire is also the most powerful weapon against these viruses. If she comes into contact with a “repellent”, she becomes a destructive berserker with superhuman powers. Unfortunately, she cannot control this power …"
Hen Semi (2011),2.69 Mediocre,"XEBEC, Inc.",Manga,Nonsense-Comedy,~15min,TV-Series,13,2011,"The plain student Nanako Matsutaka ends up in the seminar “Hen Zemi”, which deals with studies on various abnormal behaviours daily. But the professor finds the reports submitted ridiculous. And so Nanako’s student life passes by far too hectically …"
